	Gene	merge1
4	AT1G01010.Araport11.447	680
5	AT1G01020.Araport11.447	969
6	AT1G01030.Araport11.447	49
7	AT1G01040.Araport11.447	175
8	AT1G01050.Araport11.447	6109
9	AT1G01060.Araport11.447	553
10	AT1G01070.Araport11.447	1631
11	AT1G01080.Araport11.447	183
12	AT1G01090.Araport11.447	4739
13	AT1G01100.Araport11.447	19002
14	AT1G01110.Araport11.447	494
15	AT1G01120.Araport11.447	381
16	AT1G01130.Araport11.447	148
17	AT1G01140.Araport11.447	181
18	AT1G01150.Araport11.447	2
19	AT1G01160.Araport11.447	917
20	AT1G01170.Araport11.447	340
21	AT1G01180.Araport11.447	823
22	AT1G01190.Araport11.447	28
23	AT1G01200.Araport11.447	291
24	AT1G01210.Araport11.447	1106
25	AT1G01220.Araport11.447	149
26	AT1G01225.Araport11.447	352
27	AT1G01230.Araport11.447	2006
28	AT1G01240.Araport11.447	570
29	AT1G01250.Araport11.447	1
30	AT1G01260.Araport11.447	353
31	AT1G01280.Araport11.447	3
32	AT1G01290.Araport11.447	800
33	AT1G01300.Araport11.447	4291
34	AT1G01305.Araport11.447	0
35	AT1G01310.Araport11.447	15
36	AT1G01320.Araport11.447	323
37	AT1G01335.Araport11.447	0
38	AT1G01340.Araport11.447	193
39	AT1G01350.Araport11.447	990
40	AT1G01355.Araport11.447	1
41	AT1G01360.Araport11.447	1404
42	AT1G01370.Araport11.447	329
43	AT1G01380.Araport11.447	22
44	AT1G01390.Araport11.447	8
45	AT1G01400.Araport11.447	4
46	AT1G01410.Araport11.447	1
47	AT1G01420.Araport11.447	99
48	AT1G01430.Araport11.447	999
49	AT1G01440.Araport11.447	220
50	AT1G01450.Araport11.447	108
51	AT1G01453.Araport11.447	186
52	AT1G01460.Araport11.447	2
53	AT1G01470.Araport11.447	1515
54	AT1G01480.Araport11.447	124
55	AT1G01490.Araport11.447	2105
56	AT1G01500.Araport11.447	150
57	AT1G01510.Araport11.447	1951
58	AT1G01520.Araport11.447	6
59	AT1G01530.Araport11.447	2
60	AT1G01540.Araport11.447	454
61	AT1G01550.Araport11.447	4619
62	AT1G01560.Araport11.447	3
63	AT1G01570.Araport11.447	177
64	AT1G01580.Araport11.447	100
65	AT1G01590.Araport11.447	3
66	AT1G01600.Araport11.447	209
